,Date,Symbol,LGBM_Prob_5.0%hit,Adj Close,Capitalization,Industry,Invest_Amount,Shares
17971,2019-12-31,GMMPFAUDLR,0.10033185863865676,1868.6019287109373,SMALLCAP,INDUSTRIAL MANUFACTURING,20066.37172773135,11.0
17972,2019-12-31,SAIL,0.10022483844225204,42.900001525878906,MIDCAP,METALS,20044.967688450408,467.0
17973,2019-12-31,STAR,0.10008461409090808,360.2159118652344,SMALLCAP,PHARMA,20016.922818181614,56.0
17974,2019-12-31,POLYPLEX,0.10005024761414014,481.129150390625,SMALLCAP,INDUSTRIAL MANUFACTURING,20010.049522828027,42.0
17975,2019-12-31,SUPPETRO,0.09983765467931349,152.1590576171875,SMALLCAP,CHEMICALS,19967.5309358627,131.0
17976,2019-12-31,RCF,0.09979325556759756,46.70000076293945,SMALLCAP,FERTILISERS & PESTICIDES,19958.651113519514,427.0
17977,2019-12-31,ADANIGREEN,0.09976650582236245,166.4499969482422,LARGE,POWER,19953.30116447249,120.0
17978,2019-12-31,POLYMED,0.09975862652392602,216.6620330810547,SMALLCAP,PHARMA,19951.725304785203,92.0
17979,2019-12-31,BLUEDART,0.09973118697146285,2184.0,SMALLCAP,SERVICES,19946.23739429257,9.0
17960,2019-12-30,DHANUKA,0.10039430650393766,394.4953002929688,SMALLCAP,FERTILISERS & PESTICIDES,20078.861300787532,51.0
17961,2019-12-30,BLUEDART,0.10030026207936897,2191.050048828125,SMALLCAP,SERVICES,20060.052415873794,9.0
17962,2019-12-30,STAR,0.10027314030836353,364.34600830078125,SMALLCAP,PHARMA,20054.628061672705,55.0
17963,2019-12-30,GUJGASLTD,0.10020641729254513,228.45790100097656,MIDCAP,OIL & GAS,20041.283458509028,88.0
17964,2019-12-30,GRANULES,0.09993380555415177,124.30825805664062,SMALLCAP,PHARMA,19986.761110830354,161.0
17965,2019-12-30,RCF,0.09983919413264647,47.1500015258789,SMALLCAP,FERTILISERS & PESTICIDES,19967.838826529292,423.0
17966,2019-12-30,GMMPFAUDLR,0.09978626379734541,1853.52587890625,SMALLCAP,INDUSTRIAL MANUFACTURING,19957.252759469084,11.0
17967,2019-12-30,SUPPETRO,0.09975916020300227,151.5242462158203,SMALLCAP,CHEMICALS,19951.832040600453,132.0
17968,2019-12-30,MINDTREE,0.09975436600260472,786.9797973632812,MIDCAP,IT,19950.873200520942,25.0
17969,2019-12-30,AMBER,0.09975308412603408,1131.61181640625,SMALLCAP,CONSUMER GOODS,19950.616825206816,18.0
17950,2019-12-27,GRANULES,0.1004534952827439,123.1636962890625,SMALLCAP,PHARMA,20090.69905654878,163.0
17951,2019-12-27,DHANUKA,0.10043880169383536,384.2418212890625,SMALLCAP,FERTILISERS & PESTICIDES,20087.76033876707,52.0
17952,2019-12-27,ADANIGREEN,0.10032272398465467,151.0,LARGE,POWER,20064.54479693093,133.0
17953,2019-12-27,GUJGASLTD,0.10025541990595299,224.87347412109366,MIDCAP,OIL & GAS,20051.083981190597,89.0
17954,2019-12-27,STAR,0.09996105755142856,366.1373901367188,SMALLCAP,PHARMA,19992.211510285713,55.0
