,Date,Symbol,Momentum,Adj Close,Capitalization,Industry,Invest_Amount,Shares
15081,2018-10-22,IOLCP,0.10101010101010101,121.80126190185548,SMALLCAP,PHARMA,20202.0202020202,166.0
15082,2018-10-22,PGHL,0.10072150072150073,2270.324951171875,SMALLCAP,PHARMA,20144.300144300145,9.0
15083,2018-10-22,SONATSOFTW,0.10043290043290043,267.03253173828125,SMALLCAP,IT,20086.580086580085,75.0
15084,2018-10-22,BSOFT,0.10014430014430015,126.1554946899414,SMALLCAP,IT,20028.86002886003,159.0
15085,2018-10-22,BHARATRAS,0.09985569985569985,5635.607421875,SMALLCAP,FERTILISERS & PESTICIDES,19971.13997113997,4.0
15086,2018-10-22,ADANIENT,0.09956709956709957,166.7688446044922,MIDCAP,SERVICES,19913.419913419915,119.0
15087,2018-10-22,LTI,0.09927849927849929,1648.091796875,LARGE,IT,19855.69985569986,12.0
15088,2018-10-22,MINDTREE,0.09898989898989899,741.345947265625,MIDCAP,IT,19797.9797979798,27.0
15089,2018-10-22,GRAPHITE,0.0987012987012987,793.5189208984375,SMALLCAP,INDUSTRIAL MANUFACTURING,19740.259740259742,25.0
15070,2018-10-19,IOLCP,0.1012987012987013,123.3280792236328,SMALLCAP,PHARMA,20259.74025974026,164.0
15071,2018-10-19,HEG,0.10101010101010101,3978.75927734375,SMALLCAP,INDUSTRIAL MANUFACTURING,20202.0202020202,5.0
15072,2018-10-19,PGHL,0.10072150072150073,2385.78759765625,SMALLCAP,PHARMA,20144.300144300145,8.0
15073,2018-10-19,SONATSOFTW,0.10043290043290043,275.5284423828125,SMALLCAP,IT,20086.580086580085,73.0
15074,2018-10-19,BHARATRAS,0.10014430014430015,5932.17919921875,SMALLCAP,FERTILISERS & PESTICIDES,20028.86002886003,3.0
15075,2018-10-19,ADANIENT,0.09985569985569985,167.0162811279297,MIDCAP,SERVICES,19971.13997113997,120.0
15076,2018-10-19,BSOFT,0.09956709956709957,125.1795425415039,SMALLCAP,IT,19913.419913419915,159.0
15077,2018-10-19,MINDTREE,0.09927849927849929,751.7836303710938,MIDCAP,IT,19855.69985569986,26.0
15078,2018-10-19,LTI,0.09898989898989899,1678.7718505859375,LARGE,IT,19797.9797979798,12.0
15079,2018-10-19,GRAPHITE,0.0987012987012987,817.999267578125,SMALLCAP,INDUSTRIAL MANUFACTURING,19740.259740259742,24.0
15060,2018-10-17,HEG,0.1012987012987013,4076.67236328125,SMALLCAP,INDUSTRIAL MANUFACTURING,20259.74025974026,5.0
15061,2018-10-17,IOLCP,0.10101010101010101,125.741455078125,SMALLCAP,PHARMA,20202.0202020202,161.0
15062,2018-10-17,PGHL,0.10072150072150073,2505.579833984375,SMALLCAP,PHARMA,20144.300144300145,8.0
15063,2018-10-17,BHARATRAS,0.10043290043290043,6198.1640625,SMALLCAP,FERTILISERS & PESTICIDES,20086.580086580085,3.0
15064,2018-10-17,SONATSOFTW,0.10014430014430015,299.9268798828125,SMALLCAP,IT,20028.86002886003,67.0
15065,2018-10-17,BSOFT,0.09985569985569985,122.31258392333984,SMALLCAP,IT,19971.13997113997,163.0
15066,2018-10-17,MINDTREE,0.09956709956709957,903.3132934570312,MIDCAP,IT,19913.419913419915,22.0
15067,2018-10-17,LTI,0.09927849927849929,1765.1280517578125,LARGE,IT,19855.69985569986,11.0
15068,2018-10-17,ADANIENT,0.09898989898989899,160.08819580078125,MIDCAP,SERVICES,19797.9797979798,124.0
15069,2018-10-17,RADICO,0.0987012987012987,363.9687194824219,SMALLCAP,CONSUMER GOODS,19740.259740259742,54.0
15050,2018-10-16,HEG,0.1012987012987013,4376.12841796875,SMALLCAP,INDUSTRIAL MANUFACTURING,20259.74025974026,5.0
15051,2018-10-16,IOLCP,0.10101010101010101,132.24276733398438,SMALLCAP,PHARMA,20202.0202020202,153.0
15052,2018-10-16,PGHL,0.10072150072150073,2602.831787109375,SMALLCAP,PHARMA,20144.300144300145,8.0
15053,2018-10-16,BHARATRAS,0.10043290043290043,6365.49169921875,SMALLCAP,FERTILISERS & PESTICIDES,20086.580086580085,3.0
15054,2018-10-16,SONATSOFTW,0.10014430014430015,298.4891357421875,SMALLCAP,IT,20028.86002886003,67.0
15055,2018-10-16,MINDTREE,0.09985569985569985,909.640625,MIDCAP,IT,19971.13997113997,22.0
15056,2018-10-16,RADICO,0.09956709956709957,359.21160888671875,SMALLCAP,CONSUMER GOODS,19913.419913419915,55.0
15057,2018-10-16,BSOFT,0.09927849927849929,126.27344512939452,SMALLCAP,IT,19855.69985569986,157.0
15058,2018-10-16,LTI,0.09898989898989899,1750.1494140625,LARGE,IT,19797.9797979798,11.0
15059,2018-10-16,ADANIENT,0.0987012987012987,156.0303192138672,MIDCAP,SERVICES,19740.259740259742,127.0
15040,2018-10-15,HEG,0.1012987012987013,3956.401611328125,SMALLCAP,INDUSTRIAL MANUFACTURING,20259.74025974026,5.0
15041,2018-10-15,PGHL,0.10101010101010101,2558.641845703125,SMALLCAP,PHARMA,20202.0202020202,8.0
15042,2018-10-15,IOLCP,0.10072150072150073,129.97715759277344,SMALLCAP,PHARMA,20144.300144300145,155.0
15043,2018-10-15,BHARATRAS,0.10043290043290043,6062.373046875,SMALLCAP,FERTILISERS & PESTICIDES,20086.580086580085,3.0
15044,2018-10-15,RADICO,0.10014430014430015,342.11572265625,SMALLCAP,CONSUMER GOODS,20028.86002886003,59.0
15045,2018-10-15,SONATSOFTW,0.09985569985569985,294.4372253417969,SMALLCAP,IT,19971.13997113997,68.0
15046,2018-10-15,BSOFT,0.09956709956709957,128.58015441894528,SMALLCAP,IT,19913.419913419915,155.0
15047,2018-10-15,MINDTREE,0.09927849927849929,905.853515625,MIDCAP,IT,19855.69985569986,22.0
15048,2018-10-15,LTI,0.09898989898989899,1736.3267822265625,LARGE,IT,19797.9797979798,11.0
15049,2018-10-15,ADANIENT,0.0987012987012987,150.8837432861328,MIDCAP,SERVICES,19740.259740259742,131.0
15030,2018-10-12,HEG,0.1012987012987013,3916.43408203125,SMALLCAP,INDUSTRIAL MANUFACTURING,20259.74025974026,5.0
15031,2018-10-12,PGHL,0.10101010101010101,2561.188720703125,SMALLCAP,PHARMA,20202.0202020202,8.0
15032,2018-10-12,IOLCP,0.10072150072150073,124.16537475585938,SMALLCAP,PHARMA,20144.300144300145,162.0
15033,2018-10-12,BHARATRAS,0.10043290043290043,5868.2568359375,SMALLCAP,FERTILISERS & PESTICIDES,20086.580086580085,3.0
15034,2018-10-12,RADICO,0.10014430014430015,329.38055419921875,SMALLCAP,CONSUMER GOODS,20028.86002886003,61.0
15035,2018-10-12,LTI,0.09985569985569985,1699.482177734375,LARGE,IT,19971.13997113997,12.0
15036,2018-10-12,BSOFT,0.09956709956709957,119.68055725097656,SMALLCAP,IT,19913.419913419915,166.0
15037,2018-10-12,SONATSOFTW,0.09927849927849929,279.79815673828125,SMALLCAP,IT,19855.69985569986,71.0
15038,2018-10-12,MINDTREE,0.09898989898989899,880.4984130859375,MIDCAP,IT,19797.9797979798,22.0
15039,2018-10-12,ADANIENT,0.0987012987012987,142.3721160888672,MIDCAP,SERVICES,19740.259740259742,139.0
15020,2018-10-11,HEG,0.10130246020260492,3878.21875,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,5.0
15021,2018-10-11,PGHL,0.10101302460202605,2459.3525390625,SMALLCAP,PHARMA,20202.60492040521,8.0
15022,2018-10-11,RADICO,0.10072358900144718,327.10107421875,SMALLCAP,CONSUMER GOODS,20144.717800289436,62.0
15023,2018-10-11,BHARATRAS,0.10043415340086831,5588.828125,SMALLCAP,FERTILISERS & PESTICIDES,20086.83068017366,4.0
15024,2018-10-11,IOLCP,0.10014471780028944,118.25508880615234,SMALLCAP,PHARMA,20028.943560057887,169.0
15025,2018-10-11,LTI,0.09985528219971057,1652.0413818359375,LARGE,IT,19971.056439942113,12.0
15026,2018-10-11,MINDTREE,0.09956584659913169,905.7149658203124,MIDCAP,IT,19913.16931982634,22.0
15027,2018-10-11,ADANIENT,0.09927641099855282,136.7801513671875,MIDCAP,SERVICES,19855.282199710564,145.0
15028,2018-10-11,SONATSOFTW,0.09898697539797395,280.45169067382807,SMALLCAP,IT,19797.39507959479,71.0
15029,2018-10-11,BSOFT,0.09869753979739508,116.72415924072266,SMALLCAP,IT,19739.507959479015,169.0
15010,2018-10-10,HEG,0.10130246020260492,3582.54296875,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,6.0
15011,2018-10-10,PGHL,0.10101302460202605,2436.811767578125,SMALLCAP,PHARMA,20202.60492040521,8.0
15012,2018-10-10,BHARATRAS,0.10072358900144718,5701.17919921875,SMALLCAP,FERTILISERS & PESTICIDES,20144.717800289436,4.0
15013,2018-10-10,RADICO,0.10043415340086831,311.6405029296875,SMALLCAP,CONSUMER GOODS,20086.83068017366,64.0
15014,2018-10-10,SONATSOFTW,0.10014471780028944,291.43096923828125,SMALLCAP,IT,20028.943560057887,69.0
15015,2018-10-10,IOLCP,0.09985528219971057,115.2506866455078,SMALLCAP,PHARMA,19971.056439942113,173.0
15016,2018-10-10,ADANIENT,0.09956584659913169,142.27313232421875,MIDCAP,SERVICES,19913.16931982634,140.0
15017,2018-10-10,BSOFT,0.09927641099855282,121.48405456542969,SMALLCAP,IT,19855.282199710564,163.0
15018,2018-10-10,MINDTREE,0.09898697539797395,928.3450317382812,MIDCAP,IT,19797.39507959479,21.0
15019,2018-10-10,LTI,0.09869753979739508,1728.9095458984375,LARGE,IT,19739.507959479015,11.0
15000,2018-10-09,HEG,0.10130246020260492,2985.4755859375,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,7.0
15001,2018-10-09,PGHL,0.10101302460202605,2320.797607421875,SMALLCAP,PHARMA,20202.60492040521,9.0
15002,2018-10-09,BHARATRAS,0.10072358900144718,5431.7958984375,SMALLCAP,FERTILISERS & PESTICIDES,20144.717800289436,4.0
15003,2018-10-09,RADICO,0.10043415340086831,296.8240661621094,SMALLCAP,CONSUMER GOODS,20086.83068017366,68.0
15004,2018-10-09,SONATSOFTW,0.10014471780028944,277.9246826171875,SMALLCAP,IT,20028.943560057887,72.0
15005,2018-10-09,MINDTREE,0.09985528219971057,932.6402587890624,MIDCAP,IT,19971.056439942113,21.0
15006,2018-10-09,BSOFT,0.09956584659913169,118.02542877197266,SMALLCAP,IT,19913.16931982634,169.0
15007,2018-10-09,IOLCP,0.09927641099855282,109.78366088867188,SMALLCAP,PHARMA,19855.282199710564,181.0
15008,2018-10-09,LTI,0.09898697539797395,1668.3201904296875,LARGE,IT,19797.39507959479,12.0
15009,2018-10-09,VIPIND,0.09869753979739508,371.0923461914063,SMALLCAP,CONSUMER GOODS,19739.507959479015,53.0
14990,2018-10-08,HEG,0.10130246020260492,2936.011962890625,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,7.0
14991,2018-10-08,PGHL,0.10101302460202605,2210.30126953125,SMALLCAP,PHARMA,20202.60492040521,9.0
14992,2018-10-08,BHARATRAS,0.10072358900144718,5651.201171875,SMALLCAP,FERTILISERS & PESTICIDES,20144.717800289436,4.0
14993,2018-10-08,RADICO,0.10043415340086831,309.6583557128906,SMALLCAP,CONSUMER GOODS,20086.83068017366,65.0
14994,2018-10-08,IOLCP,0.10014471780028944,109.3896484375,SMALLCAP,PHARMA,20028.943560057887,183.0
14995,2018-10-08,BSOFT,0.09985528219971057,113.79725646972656,SMALLCAP,IT,19971.056439942113,175.0
14996,2018-10-08,SONATSOFTW,0.09956584659913169,277.96829223632807,SMALLCAP,IT,19913.16931982634,72.0
14997,2018-10-08,VIPIND,0.09927641099855282,387.46337890625,SMALLCAP,CONSUMER GOODS,19855.282199710564,51.0
14998,2018-10-08,MINDTREE,0.09898697539797395,922.156494140625,MIDCAP,IT,19797.39507959479,21.0
14999,2018-10-08,LTI,0.09869753979739508,1710.366943359375,LARGE,IT,19739.507959479015,12.0
14980,2018-10-05,HEG,0.10130246020260492,2994.32666015625,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,7.0
14981,2018-10-05,PGHL,0.10101302460202605,2282.80517578125,SMALLCAP,PHARMA,20202.60492040521,9.0
14982,2018-10-05,RADICO,0.10072358900144718,320.5600891113281,SMALLCAP,CONSUMER GOODS,20144.717800289436,63.0
14983,2018-10-05,BHARATRAS,0.10043415340086831,5869.50634765625,SMALLCAP,FERTILISERS & PESTICIDES,20086.83068017366,3.0
14984,2018-10-05,GRAPHITE,0.10014471780028944,634.1990966796875,SMALLCAP,INDUSTRIAL MANUFACTURING,20028.943560057887,32.0
14985,2018-10-05,IOLCP,0.09985528219971057,111.95077514648438,SMALLCAP,PHARMA,19971.056439942113,178.0
14986,2018-10-05,BSOFT,0.09956584659913169,115.71871948242188,SMALLCAP,IT,19913.16931982634,172.0
14987,2018-10-05,VIPIND,0.09927641099855282,400.7464294433594,SMALLCAP,CONSUMER GOODS,19855.282199710564,50.0
14988,2018-10-05,SONATSOFTW,0.09898697539797395,275.39767456054693,SMALLCAP,IT,19797.39507959479,72.0
14989,2018-10-05,MINDTREE,0.09869753979739508,961.22802734375,MIDCAP,IT,19739.507959479015,21.0
14970,2018-10-04,HEG,0.10130246020260492,3005.897216796875,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,7.0
14971,2018-10-04,PGHL,0.10101302460202605,2377.1279296875,SMALLCAP,PHARMA,20202.60492040521,8.0
14972,2018-10-04,RADICO,0.10072358900144718,337.4081726074219,SMALLCAP,CONSUMER GOODS,20144.717800289436,60.0
14973,2018-10-04,BHARATRAS,0.10043415340086831,5963.31591796875,SMALLCAP,FERTILISERS & PESTICIDES,20086.83068017366,3.0
14974,2018-10-04,GRAPHITE,0.10014471780028944,640.121826171875,SMALLCAP,INDUSTRIAL MANUFACTURING,20028.943560057887,31.0
14975,2018-10-04,IOLCP,0.09985528219971057,112.98506927490234,SMALLCAP,PHARMA,19971.056439942113,177.0
14976,2018-10-04,BSOFT,0.09956584659913169,121.72090911865234,SMALLCAP,IT,19913.16931982634,164.0
14977,2018-10-04,VIPIND,0.09927641099855282,399.71710205078125,SMALLCAP,CONSUMER GOODS,19855.282199710564,50.0
14978,2018-10-04,SONATSOFTW,0.09898697539797395,287.37908935546875,SMALLCAP,IT,19797.39507959479,69.0
14979,2018-10-04,MINDTREE,0.09869753979739508,982.1956176757812,MIDCAP,IT,19739.507959479015,20.0
14960,2018-10-03,HEG,0.10130246020260492,3169.869384765625,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,6.0
14961,2018-10-03,PGHL,0.10101302460202605,2426.199462890625,SMALLCAP,PHARMA,20202.60492040521,8.0
14962,2018-10-03,RADICO,0.10072358900144718,351.3822021484375,SMALLCAP,CONSUMER GOODS,20144.717800289436,57.0
14963,2018-10-03,BHARATRAS,0.10043415340086831,6090.0107421875,SMALLCAP,FERTILISERS & PESTICIDES,20086.83068017366,3.0
14964,2018-10-03,GRAPHITE,0.10014471780028944,668.6690673828125,SMALLCAP,INDUSTRIAL MANUFACTURING,20028.943560057887,30.0
14965,2018-10-03,VIPIND,0.09985528219971057,406.28515625,SMALLCAP,CONSUMER GOODS,19971.056439942113,49.0
14966,2018-10-03,IOLCP,0.09956584659913169,117.02377319335938,SMALLCAP,PHARMA,19913.16931982634,170.0
14967,2018-10-03,BSOFT,0.09927641099855282,130.11732482910156,SMALLCAP,IT,19855.282199710564,153.0
14968,2018-10-03,SONATSOFTW,0.09898697539797395,308.3356628417969,SMALLCAP,IT,19797.39507959479,64.0
14969,2018-10-03,LTI,0.09869753979739508,1839.5882568359373,LARGE,IT,19739.507959479015,11.0
14955,2018-10-01,IOLCP,0.09985528219971057,115.1029281616211,SMALLCAP,PHARMA,19971.056439942113,174.0
14951,2018-10-01,PGHL,0.10101302460202605,2310.6943359375,SMALLCAP,PHARMA,20202.60492040521,9.0
14952,2018-10-01,RADICO,0.10072358900144718,336.3179931640625,SMALLCAP,CONSUMER GOODS,20144.717800289436,60.0
14953,2018-10-01,BHARATRAS,0.10043415340086831,5992.45263671875,SMALLCAP,FERTILISERS & PESTICIDES,20086.83068017366,3.0
14954,2018-10-01,GRAPHITE,0.10014471780028944,674.6707153320312,SMALLCAP,INDUSTRIAL MANUFACTURING,20028.943560057887,30.0
14950,2018-10-01,HEG,0.10130246020260492,3087.353271484375,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,7.0
14956,2018-10-01,VIPIND,0.09956584659913169,392.5609436035156,SMALLCAP,CONSUMER GOODS,19913.16931982634,51.0
14957,2018-10-01,BSOFT,0.09927641099855282,131.18174743652344,SMALLCAP,IT,19855.282199710564,151.0
14958,2018-10-01,SONATSOFTW,0.09898697539797395,313.2588806152344,SMALLCAP,IT,19797.39507959479,63.0
14959,2018-10-01,LTI,0.09869753979739508,1862.2730712890625,LARGE,IT,19739.507959479015,11.0
14940,2018-09-28,HEG,0.10130246020260492,3084.679443359375,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,7.0
14941,2018-09-28,PGHL,0.10101302460202605,2200.66552734375,SMALLCAP,PHARMA,20202.60492040521,9.0
14942,2018-09-28,RADICO,0.10072358900144718,343.8501281738281,SMALLCAP,CONSUMER GOODS,20144.717800289436,59.0
14943,2018-09-28,GRAPHITE,0.10043415340086831,665.9446411132812,SMALLCAP,INDUSTRIAL MANUFACTURING,20086.83068017366,30.0
14944,2018-09-28,BHARATRAS,0.10014471780028944,6100.85595703125,SMALLCAP,FERTILISERS & PESTICIDES,20028.943560057887,3.0
14945,2018-09-28,VIPIND,0.09985528219971057,405.451904296875,SMALLCAP,CONSUMER GOODS,19971.056439942113,49.0
14946,2018-09-28,IOLCP,0.09956584659913169,118.55059814453124,SMALLCAP,PHARMA,19913.16931982634,168.0
14947,2018-09-28,BSOFT,0.09927641099855282,126.18498992919922,SMALLCAP,IT,19855.282199710564,157.0
14948,2018-09-28,LTI,0.09898697539797395,1846.572021484375,LARGE,IT,19797.39507959479,11.0
14949,2018-09-28,SONATSOFTW,0.09869753979739508,322.0162353515625,SMALLCAP,IT,19739.507959479015,61.0
14930,2018-09-27,HEG,0.10130246020260492,3211.865234375,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,6.0
14931,2018-09-27,PGHL,0.10101302460202605,2202.023681640625,SMALLCAP,PHARMA,20202.60492040521,9.0
14932,2018-09-27,GRAPHITE,0.10072358900144718,637.5552978515625,SMALLCAP,INDUSTRIAL MANUFACTURING,20144.717800289436,32.0
14933,2018-09-27,RADICO,0.10043415340086831,359.4593811035156,SMALLCAP,CONSUMER GOODS,20086.83068017366,56.0
14934,2018-09-27,VIPIND,0.10014471780028944,426.7734069824219,SMALLCAP,CONSUMER GOODS,20028.943560057887,47.0
14935,2018-09-27,BHARATRAS,0.09985528219971057,6410.322265625,SMALLCAP,FERTILISERS & PESTICIDES,19971.056439942113,3.0
14936,2018-09-27,BSOFT,0.09956584659913169,142.6829376220703,SMALLCAP,IT,19913.16931982634,140.0
14937,2018-09-27,LTI,0.09927641099855282,1803.03271484375,LARGE,IT,19855.282199710564,11.0
14938,2018-09-27,SONATSOFTW,0.09898697539797395,323.3668518066406,SMALLCAP,IT,19797.39507959479,61.0
14939,2018-09-27,IOLCP,0.09869753979739508,124.75640869140624,SMALLCAP,PHARMA,19739.507959479015,158.0
14920,2018-09-26,HEG,0.10130246020260492,3318.44482421875,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,6.0
14921,2018-09-26,PGHL,0.10101302460202605,2275.801025390625,SMALLCAP,PHARMA,20202.60492040521,9.0
14922,2018-09-26,GRAPHITE,0.10072358900144718,667.8399658203125,SMALLCAP,INDUSTRIAL MANUFACTURING,20144.717800289436,30.0
14923,2018-09-26,RADICO,0.10043415340086831,369.0231628417969,SMALLCAP,CONSUMER GOODS,20086.83068017366,54.0
14924,2018-09-26,IOLCP,0.10014471780028944,124.11611938476562,SMALLCAP,PHARMA,20028.943560057887,161.0
14925,2018-09-26,BHARATRAS,0.09985528219971057,6529.47021484375,SMALLCAP,FERTILISERS & PESTICIDES,19971.056439942113,3.0
14926,2018-09-26,VIPIND,0.09956584659913169,447.9968566894531,SMALLCAP,CONSUMER GOODS,19913.16931982634,44.0
14927,2018-09-26,BSOFT,0.09927641099855282,146.37840270996094,SMALLCAP,IT,19855.282199710564,136.0
14928,2018-09-26,LTI,0.09898697539797395,1803.5623779296875,LARGE,IT,19797.39507959479,11.0
14929,2018-09-26,SONATSOFTW,0.09869753979739508,333.4311828613281,SMALLCAP,IT,19739.507959479015,59.0
14910,2018-09-25,HEG,0.10130246020260492,3329.185791015625,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,6.0
14911,2018-09-25,PGHL,0.10101302460202605,2311.840576171875,SMALLCAP,PHARMA,20202.60492040521,9.0
14912,2018-09-25,RADICO,0.10072358900144718,351.5804138183594,SMALLCAP,CONSUMER GOODS,20144.717800289436,57.0
14913,2018-09-25,GRAPHITE,0.10043415340086831,681.422607421875,SMALLCAP,INDUSTRIAL MANUFACTURING,20086.83068017366,29.0
14914,2018-09-25,BHARATRAS,0.10014471780028944,6544.1640625,SMALLCAP,FERTILISERS & PESTICIDES,20028.943560057887,3.0
14915,2018-09-25,IOLCP,0.09985528219971057,126.87425994873048,SMALLCAP,PHARMA,19971.056439942113,157.0
14916,2018-09-25,LTI,0.09956584659913169,1812.3760986328125,LARGE,IT,19913.16931982634,11.0
14917,2018-09-25,BSOFT,0.09927641099855282,158.23443603515625,SMALLCAP,IT,19855.282199710564,125.0
14918,2018-09-25,VIPIND,0.09898697539797395,463.7306518554688,SMALLCAP,CONSUMER GOODS,19797.39507959479,43.0
14919,2018-09-25,SONATSOFTW,0.09869753979739508,333.0826416015625,SMALLCAP,IT,19739.507959479015,59.0
14900,2018-09-24,HEG,0.10130246020260492,3579.408447265625,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,6.0
14901,2018-09-24,GRAPHITE,0.10101302460202605,717.2744140625,SMALLCAP,INDUSTRIAL MANUFACTURING,20202.60492040521,28.0
14902,2018-09-24,PGHL,0.10072358900144718,2368.29833984375,SMALLCAP,PHARMA,20144.717800289436,9.0
14903,2018-09-24,RADICO,0.10043415340086831,367.2392272949219,SMALLCAP,CONSUMER GOODS,20086.83068017366,55.0
14904,2018-09-24,BHARATRAS,0.10014471780028944,6827.291015625,SMALLCAP,FERTILISERS & PESTICIDES,20028.943560057887,3.0
14905,2018-09-24,LTI,0.09985528219971057,1828.41455078125,LARGE,IT,19971.056439942113,11.0
14906,2018-09-24,VIPIND,0.09956584659913169,483.9248352050781,SMALLCAP,CONSUMER GOODS,19913.16931982634,41.0
14907,2018-09-24,BSOFT,0.09927641099855282,163.61546325683594,SMALLCAP,IT,19855.282199710564,121.0
14908,2018-09-24,SONATSOFTW,0.09898697539797395,331.2091979980469,SMALLCAP,IT,19797.39507959479,60.0
14909,2018-09-24,MINDTREE,0.09869753979739508,991.016845703125,MIDCAP,IT,19739.507959479015,20.0
14890,2018-09-21,HEG,0.10130246020260492,3724.38818359375,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,5.0
14891,2018-09-21,GRAPHITE,0.10101302460202605,755.0215454101562,SMALLCAP,INDUSTRIAL MANUFACTURING,20202.60492040521,27.0
14892,2018-09-21,PGHL,0.10072358900144718,2488.302734375,SMALLCAP,PHARMA,20144.717800289436,8.0
14893,2018-09-21,BHARATRAS,0.10043415340086831,7172.0419921875,SMALLCAP,FERTILISERS & PESTICIDES,20086.83068017366,3.0
14894,2018-09-21,LTI,0.10014471780028944,1788.824462890625,LARGE,IT,20028.943560057887,11.0
14895,2018-09-21,RADICO,0.09985528219971057,386.5650024414063,SMALLCAP,CONSUMER GOODS,19971.056439942113,52.0
14896,2018-09-21,BSOFT,0.09956584659913169,164.23568725585938,SMALLCAP,IT,19913.16931982634,121.0
14897,2018-09-21,VIPIND,0.09927641099855282,498.4822998046875,SMALLCAP,CONSUMER GOODS,19855.282199710564,40.0
14898,2018-09-21,SONATSOFTW,0.09898697539797395,338.5287170410156,SMALLCAP,IT,19797.39507959479,58.0
14899,2018-09-21,MINDTREE,0.09869753979739508,1003.3017578125,MIDCAP,IT,19739.507959479015,20.0
14880,2018-09-19,HEG,0.10130246020260492,3646.06689453125,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,6.0
14881,2018-09-19,GRAPHITE,0.10101302460202605,753.32373046875,SMALLCAP,INDUSTRIAL MANUFACTURING,20202.60492040521,27.0
14882,2018-09-19,PGHL,0.10072358900144718,2515.725341796875,SMALLCAP,PHARMA,20144.717800289436,8.0
14883,2018-09-19,BHARATRAS,0.10043415340086831,7352.61328125,SMALLCAP,FERTILISERS & PESTICIDES,20086.83068017366,3.0
14884,2018-09-19,LTI,0.10014471780028944,1769.414794921875,LARGE,IT,20028.943560057887,11.0
14885,2018-09-19,BSOFT,0.09985528219971057,172.39617919921875,SMALLCAP,IT,19971.056439942113,116.0
14886,2018-09-19,RADICO,0.09956584659913169,406.8818359375,SMALLCAP,CONSUMER GOODS,19913.16931982634,49.0
14887,2018-09-19,SONATSOFTW,0.09927641099855282,360.2259826660156,SMALLCAP,IT,19855.282199710564,55.0
14888,2018-09-19,VIPIND,0.09898697539797395,512.6476440429689,SMALLCAP,CONSUMER GOODS,19797.39507959479,39.0
14889,2018-09-19,MINDTREE,0.09869753979739508,1034.845458984375,MIDCAP,IT,19739.507959479015,19.0
14870,2018-09-18,HEG,0.10130246020260492,3680.594482421875,SMALLCAP,INDUSTRIAL MANUFACTURING,20260.49204052098,6.0
14871,2018-09-18,GRAPHITE,0.10101302460202605,778.8306884765625,SMALLCAP,INDUSTRIAL MANUFACTURING,20202.60492040521,26.0
14872,2018-09-18,VIPIND,0.10072358900144718,530.2930297851561,SMALLCAP,CONSUMER GOODS,20144.717800289436,38.0
14873,2018-09-18,PGHL,0.10043415340086831,2624.820556640625,SMALLCAP,PHARMA,20086.83068017366,8.0
14874,2018-09-18,BSOFT,0.10014471780028944,176.68333435058594,SMALLCAP,IT,20028.943560057887,113.0
14875,2018-09-18,RADICO,0.09985528219971057,402.025634765625,SMALLCAP,CONSUMER GOODS,19971.056439942113,50.0
14876,2018-09-18,LTI,0.09956584659913169,1779.095458984375,LARGE,IT,19913.16931982634,11.0
14877,2018-09-18,BHARATRAS,0.09927641099855282,7340.51904296875,SMALLCAP,FERTILISERS & PESTICIDES,19855.282199710564,3.0
14878,2018-09-18,SONATSOFTW,0.09898697539797395,353.34210205078125,SMALLCAP,IT,19797.39507959479,56.0
14879,2018-09-18,MINDTREE,0.09869753979739508,1059.8773193359377,MIDCAP,IT,19739.507959479015,19.0
14860,2018-09-17,GRAPHITE,0.10115774240231548,783.4503784179688,SMALLCAP,INDUSTRIAL MANUFACTURING,20231.548480463098,26.0
14861,2018-09-17,HEG,0.10115774240231548,3692.21142578125,SMALLCAP,INDUSTRIAL MANUFACTURING,20231.548480463098,5.0
14862,2018-09-17,VIPIND,0.10072358900144718,536.6649780273439,SMALLCAP,CONSUMER GOODS,20144.717800289436,38.0
14863,2018-09-17,PGHL,0.10043415340086831,2613.7412109375,SMALLCAP,PHARMA,20086.83068017366,8.0
14864,2018-09-17,BSOFT,0.10014471780028944,178.93011474609375,SMALLCAP,IT,20028.943560057887,112.0
14865,2018-09-17,BHARATRAS,0.09985528219971057,7494.470703125,SMALLCAP,FERTILISERS & PESTICIDES,19971.056439942113,3.0
14866,2018-09-17,RADICO,0.09956584659913169,404.6519165039063,SMALLCAP,CONSUMER GOODS,19913.16931982634,49.0
14867,2018-09-17,LTI,0.09927641099855282,1796.9158935546875,LARGE,IT,19855.282199710564,11.0
